lib32-libnghttp2 1.59.0-2
lib32-libnghttp3 1.2.0-1
lib32-libnl 3.9.0-1
lib32-libogg 1.3.5-1
lib32-libpcap 1.10.4-1
lib32-libpciaccess 0.17-1
lib32-libpng 1.6.43-1
lib32-libpsl 0.21.2-1
lib32-libpulse 17.0-1
lib32-libsndfile 1.2.2-1
lib32-libssh2 1.11.0-1
lib32-libtasn1 4.19.0-1
lib32-libtiff 4.6.0-2
lib32-libtirpc 1.3.4-1
lib32-libunistring 1.1-1
lib32-libunwind 1.7.2-1
lib32-libvorbis 1.3.7-1
lib32-libx11 1.8.7-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.16-1
lib32-libxcomposite 0.4.6-1
lib32-libxcrypt 4.4.36-1
lib32-libxcursor 1.2.1-2
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxi 1.8.1-1
lib32-libxinerama 1.1.5-1
lib32-libxkbcommon 1.6.0-1
lib32-libxml2 2.12.5-1
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-1
lib32-libxshmfence 1.3.2-1
lib32-libxtst 1.2.4-1
lib32-libxv 1.0.12-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 16.0.6-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 1:24.0.1-1
lib32-ncurses 6.4_20230520-1
lib32-nettle 3.9.1-1
lib32-ocl-icd 2.3.2-1
lib32-openssl 1:3.2.1-1
lib32-opus 1.4-1
lib32-orc 0.4.37-1
lib32-p11-kit 0.25.3-1
lib32-pam 1.6.0-1
lib32-pcre2 10.42-1
lib32-pcsclite 2.0.1-1
lib32-polkit 124-1
lib32-sdl2 2.30.0-1
lib32-systemd 255.4-1
lib32-unixodbc 2.3.12-1
lib32-unixodbc-debug 2.3.12-1
lib32-util-linux 2.39.3-1
lib32-v4l-utils 1.26.1-1
lib32-vulkan-icd-loader 1.3.276-1
lib32-wayland 1.22.0-1
lib32-xz 5.6.0-1
lib32-zlib 1.3.1-1
lib32-zstd 1.5.5-1
libadwaita 1:1.4.3-1
libaio 0.3.113-3
libao 1.2.2-6
libarchive 3.7.2-1
libass 0.17.1-2
libassuan 2.5.6-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.0.4-1
libavtp 0.2.0-2
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libblockdev 3.1.0-1
libblockdev-crypto 3.1.0-1
libblockdev-fs 3.1.0-1
libblockdev-loop 3.1.0-1
libblockdev-mdraid 3.1.0-1
libblockdev-nvme 3.1.0-1
libblockdev-part 3.1.0-1
libblockdev-swap 3.1.0-1
libblockdev-utils 3.1.0-1
libbluray 1.3.4-1
libbpf 1.3.0-1
libbs2b 3.1.0-8
libbsd 0.12.1-1
libbytesize 2.8-2
libcaca 0.99.beta20-2
libcamera 0.2.0-1
libcamera-ipa 0.2.0-1
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-3
